l2_relative,cosine_similarity,l2_by_layer,cosine_by_layer,batch_idx,seed
0.6647974652611378,0.7594380682381755,"{'layer1.0.conv1': 0.5536886813481077, 'layer1.0.conv2': 0.751705539073614, 'layer1.1.conv1': 0.5957834933995615, 'layer1.1.conv2': 0.6318858092550659, 'layer2.0.conv1': 0.4942454771510684, 'layer2.0.conv2': 0.5833987688663769, 'layer2.0.downsample.0': 0.855893176770471, 'layer2.1.conv1': 0.5536724196221994, 'layer2.1.conv2': 0.6994429214070873, 'layer3.0.conv1': 0.6425952613676403, 'layer3.0.conv2': 0.676569008871636, 'layer3.0.downsample.0': 0.7606718315498854, 'layer3.1.conv1': 0.5736065498433245, 'layer3.1.conv2': 0.6923601922396229, 'layer4.0.conv1': 0.7520807520748727, 'layer4.0.conv2': 0.6589671695050978, 'layer4.0.downsample.0': 0.6789397498505807, 'layer4.1.conv1': 0.7115227031305895, 'layer4.1.conv2': 0.7641223346348154}","{'layer1.0.conv1': 0.873314903146323, 'layer1.0.conv2': 0.7615460931026772, 'layer1.1.conv1': 0.8406219824189848, 'layer1.1.conv2': 0.7893625171139224, 'layer2.0.conv1': 0.8704531769166868, 'layer2.0.conv2': 0.8134951191803715, 'layer2.0.downsample.0': 0.6673230282224905, 'layer2.1.conv1': 0.8330591160484145, 'layer2.1.conv2': 0.7312213482760131, 'layer3.0.conv1': 0.766457880795736, 'layer3.0.conv2': 0.7375519683366497, 'layer3.0.downsample.0': 0.6675816761045604, 'layer3.1.conv1': 0.8409934614604776, 'layer3.1.conv2': 0.7252774018446136, 'layer4.0.conv1': 0.6591541935063375, 'layer4.0.conv2': 0.7566374025701232, 'layer4.0.downsample.0': 0.7405676636391875, 'layer4.1.conv1': 0.708644173321031, 'layer4.1.conv2': 0.646060190520733}",0,0
0.6890101324710083,0.7453701259241426,"{'layer1.0.conv1': 0.5357381309453597, 'layer1.0.conv2': 0.784825842460042, 'layer1.1.conv1': 0.5948219191295898, 'layer1.1.conv2': 0.6866460491150889, 'layer2.0.conv1': 0.5613491945463994, 'layer2.0.conv2': 0.5962842997425045, 'layer2.0.downsample.0': 0.946679043905015, 'layer2.1.conv1': 0.5615839152112837, 'layer2.1.conv2': 0.7057309624300931, 'layer3.0.conv1': 0.6585657577547348, 'layer3.0.conv2': 0.6934769188457559, 'layer3.0.downsample.0': 0.8060059015902271, 'layer3.1.conv1': 0.5795318286078506, 'layer3.1.conv2': 0.7162032807926523, 'layer4.0.conv1': 0.7677899508588109, 'layer4.0.conv2': 0.7155794662678749, 'layer4.0.downsample.0': 0.7357325167221729, 'layer4.1.conv1': 0.7117941057501773, 'layer4.1.conv2': 0.732853432273525}","{'layer1.0.conv1': 0.8700814463869507, 'layer1.0.conv2': 0.7426100452687299, 'layer1.1.conv1': 0.8254739955640003, 'layer1.1.conv2': 0.7597806066039888, 'layer2.0.conv1': 0.8638356085544953, 'layer2.0.conv2': 0.8050335700055465, 'layer2.0.downsample.0': 0.6824908412809368, 'layer2.1.conv1': 0.8275928681299063, 'layer2.1.conv2': 0.720017977204417, 'layer3.0.conv1': 0.7605170756394442, 'layer3.0.conv2': 0.7204824708354864, 'layer3.0.downsample.0': 0.6397654333668914, 'layer3.1.conv1': 0.8216020575139785, 'layer3.1.conv2': 0.6988725087381089, 'layer4.0.conv1': 0.6409766896722633, 'layer4.0.conv2': 0.7090715713706678, 'layer4.0.downsample.0': 0.6816384165427904, 'layer4.1.conv1': 0.7112874182063049, 'layer4.1.conv2': 0.6809017916738005}",1,0
0.6923987967865254,0.749138354506372,"{'layer1.0.conv1': 0.6134865092615714, 'layer1.0.conv2': 0.8853462597491236, 'layer1.1.conv1': 0.6331761303839333, 'layer1.1.conv2': 0.6583001186125991, 'layer2.0.conv1': 0.5750320563454904, 'layer2.0.conv2': 0.6142929044084309, 'layer2.0.downsample.0': 0.9590841387691624, 'layer2.1.conv1': 0.573580999035395, 'layer2.1.conv2': 0.7064349408585465, 'layer3.0.conv1': 0.6476005034383404, 'layer3.0.conv2': 0.6800362457695031, 'layer3.0.downsample.0': 0.775121680902047, 'layer3.1.conv1': 0.5853321405653434, 'layer3.1.conv2': 0.68847167627829, 'layer4.0.conv1': 0.7322422734978367, 'layer4.0.conv2': 0.6812271573510832, 'layer4.0.downsample.0': 0.696414450216783, 'layer4.1.conv1': 0.6977505419211382, 'layer4.1.conv2': 0.7526464115793645}","{'layer1.0.conv1': 0.8595549043752663, 'layer1.0.conv2': 0.685843904608724, 'layer1.1.conv1': 0.8222204271680548, 'layer1.1.conv2': 0.7625884576152977, 'layer2.0.conv1': 0.8451576805167835, 'layer2.0.conv2': 0.7914121698452197, 'layer2.0.downsample.0': 0.6531776632339892, 'layer2.1.conv1': 0.8213085271883158, 'layer2.1.conv2': 0.7172800117510236, 'layer3.0.conv1': 0.7641216968851063, 'layer3.0.conv2': 0.7376876382786827, 'layer3.0.downsample.0': 0.6564361574181341, 'layer3.1.conv1': 0.8400429845827402, 'layer3.1.conv2': 0.7256203434085681, 'layer4.0.conv1': 0.6820491824634748, 'layer4.0.conv2': 0.7502224303263062, 'layer4.0.downsample.0': 0.7250963040751515, 'layer4.1.conv1': 0.7333992692089272, 'layer4.1.conv2': 0.6604089826713028}",2,0
0.7318878530066499,0.7148824492650795,"{'layer1.0.conv1': 0.558570943999067, 'layer1.0.conv2': 0.9256726773813662, 'layer1.1.conv1': 0.6087410999919031, 'layer1.1.conv2': 0.737917672213538, 'layer2.0.conv1': 0.6000349293800458, 'layer2.0.conv2': 0.6808927489614852, 'layer2.0.downsample.0': 0.9826969420078334, 'layer2.1.conv1': 0.6211780619766559, 'layer2.1.conv2': 0.734548802064947, 'layer3.0.conv1': 0.7296240833852753, 'layer3.0.conv2': 0.7339164385597176, 'layer3.0.downsample.0': 0.8638319271216301, 'layer3.1.conv1': 0.6154557949495794, 'layer3.1.conv2': 0.7526750632261258, 'layer4.0.conv1': 0.8013419961162634, 'layer4.0.conv2': 0.6873538925029569, 'layer4.0.downsample.0': 0.7076971704865255, 'layer4.1.conv1': 0.7520102216971443, 'layer4.1.conv2': 0.8117087411042877}","{'layer1.0.conv1': 0.8706779341461405, 'layer1.0.conv2': 0.7100651738232417, 'layer1.1.conv1': 0.8095679905632427, 'layer1.1.conv2': 0.7280278756823898, 'layer2.0.conv1': 0.8230535557936197, 'layer2.0.conv2': 0.739900027029208, 'layer2.0.downsample.0': 0.6464824721328172, 'layer2.1.conv1': 0.7969676809913052, 'layer2.1.conv2': 0.681190423818172, 'layer3.0.conv1': 0.724873842669572, 'layer3.0.conv2': 0.6799545930825253, 'layer3.0.downsample.0': 0.6217108247307049, 'layer3.1.conv1': 0.7943413495291143, 'layer3.1.conv2': 0.6596278255650802, 'layer4.0.conv1': 0.5993713657015317, 'layer4.0.conv2': 0.7323310019448066, 'layer4.0.downsample.0': 0.7081489517693241, 'layer4.1.conv1': 0.6724012993827662, 'layer4.1.conv2': 0.5840723476809482}",3,0
0.7233187787390344,0.7282235497697918,"{'layer1.0.conv1': 0.5342558224868187, 'layer1.0.conv2': 0.8837250946116875, 'layer1.1.conv1': 0.6571115061764374, 'layer1.1.conv2': 0.8544002084979792, 'layer2.0.conv1': 0.5863935513345692, 'layer2.0.conv2': 0.5996005126640304, 'layer2.0.downsample.0': 1.0126923933223662, 'layer2.1.conv1': 0.5909547575275862, 'layer2.1.conv2': 0.7292849492795205, 'layer3.0.conv1': 0.6698315734005774, 'layer3.0.conv2': 0.7086711924197537, 'layer3.0.downsample.0': 0.8035136832753087, 'layer3.1.conv1': 0.5920910606395227, 'layer3.1.conv2': 0.7344979440367031, 'layer4.0.conv1': 0.8024123719949576, 'layer4.0.conv2': 0.7134837789824872, 'layer4.0.downsample.0': 0.7329830394627064, 'layer4.1.conv1': 0.7399276833651779, 'layer4.1.conv2': 0.7972256725634642}","{'layer1.0.conv1': 0.8691657860225156, 'layer1.0.conv2': 0.7549495533306444, 'layer1.1.conv1': 0.829392424735912, 'layer1.1.conv2': 0.7524459323833583, 'layer2.0.conv1': 0.8365181122754427, 'layer2.0.conv2': 0.8023380986680894, 'layer2.0.downsample.0': 0.6402596610319877, 'layer2.1.conv1': 0.8090621865426776, 'layer2.1.conv2': 0.69077744829683, 'layer3.0.conv1': 0.7453857282835226, 'layer3.0.conv2': 0.706687857294505, 'layer3.0.downsample.0': 0.6261121664475753, 'layer3.1.conv1': 0.8164972354780965, 'layer3.1.conv2': 0.680910826903987, 'layer4.0.conv1': 0.5977947109841576, 'layer4.0.conv2': 0.702689290309681, 'layer4.0.downsample.0': 0.6864869355120028, 'layer4.1.conv1': 0.683959768045652, 'layer4.1.conv2': 0.6048137230794056}",4,0
0.7727597229659734,0.6920521605243052,"{'layer1.0.conv1': 0.5461711195576017, 'layer1.0.conv2': 0.9404931723329298, 'layer1.1.conv1': 0.7286178756372903, 'layer1.1.conv2': 1.0578289555597284, 'layer2.0.conv1': 0.6751258405314243, 'layer2.0.conv2': 0.662952775806479, 'layer2.0.downsample.0': 1.1317420531585682, 'layer2.1.conv1': 0.6419898065967985, 'layer2.1.conv2': 0.767769686605622, 'layer3.0.conv1': 0.7077580655203104, 'layer3.0.conv2': 0.7580929621283747, 'layer3.0.downsample.0': 0.8286864413470393, 'layer3.1.conv1': 0.6175855655626639, 'layer3.1.conv2': 0.7560742875946939, 'layer4.0.conv1': 0.82694786937834, 'layer4.0.conv2': 0.70201754285178, 'layer4.0.downsample.0': 0.723362949000842, 'layer4.1.conv1': 0.7800351052482661, 'layer4.1.conv2': 0.8291826619347409}","{'layer1.0.conv1': 0.8739311866891104, 'layer1.0.conv2': 0.7174284363871196, 'layer1.1.conv1': 0.7931902915444465, 'layer1.1.conv2': 0.5873001923525063, 'layer2.0.conv1': 0.8007315615230549, 'layer2.0.conv2': 0.7500337171321686, 'layer2.0.downsample.0': 0.6349428009584048, 'layer2.1.conv1': 0.7668522295176963, 'layer2.1.conv2': 0.6411855282236099, 'layer3.0.conv1': 0.7167075607375203, 'layer3.0.conv2': 0.6522546093524016, 'layer3.0.downsample.0': 0.6016628854410558, 'layer3.1.conv1': 0.794110649004083, 'layer3.1.conv2': 0.6548261365017461, 'layer4.0.conv1': 0.5679283747266133, 'layer4.0.conv2': 0.7127729109474733, 'layer4.0.downsample.0': 0.6912510409521418, 'layer4.1.conv1': 0.6285049083499142, 'layer4.1.conv2': 0.5633760296207321}",0,1
0.7527224677135427,0.6980571834022318,"{'layer1.0.conv1': 0.6723869322836201, 'layer1.0.conv2': 0.9215546367230445, 'layer1.1.conv1': 0.6619461245153637, 'layer1.1.conv2': 0.8219245111018701, 'layer2.0.conv1': 0.6119106009204882, 'layer2.0.conv2': 0.6559143608780514, 'layer2.0.downsample.0': 1.0522335868089188, 'layer2.1.conv1': 0.6080577997359932, 'layer2.1.conv2': 0.7691579732593161, 'layer3.0.conv1': 0.7181671149820156, 'layer3.0.conv2': 0.7484563546844017, 'layer3.0.downsample.0': 0.8376919546657972, 'layer3.1.conv1': 0.6156539513639272, 'layer3.1.conv2': 0.7570078376331328, 'layer4.0.conv1': 0.8154732553795598, 'layer4.0.conv2': 0.7157533712299262, 'layer4.0.downsample.0': 0.7703842403523972, 'layer4.1.conv1': 0.7509221632305206, 'layer4.1.conv2': 0.7971301168089664}","{'layer1.0.conv1': 0.8031790397662115, 'layer1.0.conv2': 0.6882187787242247, 'layer1.1.conv1': 0.8178383738312998, 'layer1.1.conv2': 0.7100850486732979, 'layer2.0.conv1': 0.8283553396218644, 'layer2.0.conv2': 0.7561967614962964, 'layer2.0.downsample.0': 0.6016125476534954, 'layer2.1.conv1': 0.7939266265751695, 'layer2.1.conv2': 0.6575312959650516, 'layer3.0.conv1': 0.7045271398286255, 'layer3.0.conv2': 0.6639683948649874, 'layer3.0.downsample.0': 0.5928644033707944, 'layer3.1.conv1': 0.7951494077537525, 'layer3.1.conv2': 0.6535554831868843, 'layer4.0.conv1': 0.57932037628486, 'layer4.0.conv2': 0.7028265718794916, 'layer4.0.downsample.0': 0.6393615378704612, 'layer4.1.conv1': 0.6703640515005118, 'layer4.1.conv2': 0.6042053057951222}",1,1
0.6997106567556376,0.7339129832253208,"{'layer1.0.conv1': 0.6017132239297294, 'layer1.0.conv2': 0.8417427861337787, 'layer1.1.conv1': 0.593104062869364, 'layer1.1.conv2': 0.6742768159923912, 'layer2.0.conv1': 0.5480213622028061, 'layer2.0.conv2': 0.6200340319376256, 'layer2.0.downsample.0': 0.9261425052681146, 'layer2.1.conv1': 0.59287816769677, 'layer2.1.conv2': 0.7184654613169387, 'layer3.0.conv1': 0.6681036976382487, 'layer3.0.conv2': 0.7081308103182258, 'layer3.0.downsample.0': 0.8126448171776511, 'layer3.1.conv1': 0.5823135392443507, 'layer3.1.conv2': 0.7077799970646943, 'layer4.0.conv1': 0.774021206898027, 'layer4.0.conv2': 0.678312860103153, 'layer4.0.downsample.0': 0.7153482746051711, 'layer4.1.conv1': 0.753422490841609, 'layer4.1.conv2': 0.7780463671184654}","{'layer1.0.conv1': 0.8685300645998631, 'layer1.0.conv2': 0.7302228541453294, 'layer1.1.conv1': 0.818507263022393, 'layer1.1.conv2': 0.7637423451838089, 'layer2.0.conv1': 0.84083891853447, 'layer2.0.conv2': 0.7860524713659438, 'layer2.0.downsample.0': 0.654457201995152, 'layer2.1.conv1': 0.8067322717283147, 'layer2.1.conv2': 0.703077559092871, 'layer3.0.conv1': 0.7465021245766331, 'layer3.0.conv2': 0.7063733827910725, 'layer3.0.downsample.0': 0.6166289875322788, 'layer3.1.conv1': 0.8236344012588512, 'layer3.1.conv2': 0.7093926528187591, 'layer4.0.conv1': 0.6338116668977017, 'layer4.0.conv2': 0.7398798700311684, 'layer4.0.downsample.0': 0.7014058194777031, 'layer4.1.conv1': 0.6663498563209277, 'layer4.1.conv2': 0.628206969907854}",2,1
0.6977397087066005,0.7418535298335207,"{'layer1.0.conv1': 0.5873779512133018, 'layer1.0.conv2': 0.986306547435118, 'layer1.1.conv1': 0.6388344899886395, 'layer1.1.conv2': 0.6349442752704739, 'layer2.0.conv1': 0.5417703066987174, 'layer2.0.conv2': 0.6116352490042155, 'layer2.0.downsample.0': 0.8874542157521422, 'layer2.1.conv1': 0.5618846339787411, 'layer2.1.conv2': 0.7044945353609631, 'layer3.0.conv1': 0.6750310896659798, 'layer3.0.conv2': 0.7026586215340115, 'layer3.0.downsample.0': 0.7872154743275162, 'layer3.1.conv1': 0.5835344615217087, 'layer3.1.conv2': 0.7158462328290142, 'layer4.0.conv1': 0.7772308521248121, 'layer4.0.conv2': 0.6703693965835756, 'layer4.0.downsample.0': 0.7058921965347359, 'layer4.1.conv1': 0.7109998245807932, 'layer4.1.conv2': 0.7735741110209511}","{'layer1.0.conv1': 0.8487247427205339, 'layer1.0.conv2': 0.714243260052396, 'layer1.1.conv1': 0.816566913106817, 'layer1.1.conv2': 0.7966345152310256, 'layer2.0.conv1': 0.850890643847286, 'layer2.0.conv2': 0.7916042887805625, 'layer2.0.downsample.0': 0.6685007584561592, 'layer2.1.conv1': 0.8272732717381418, 'layer2.1.conv2': 0.7220466840889479, 'layer3.0.conv1': 0.7387612158731188, 'layer3.0.conv2': 0.718486953386802, 'layer3.0.downsample.0': 0.6498129649695068, 'layer3.1.conv1': 0.8216964657915306, 'layer3.1.conv2': 0.6994543586521401, 'layer4.0.conv1': 0.6293010098545858, 'layer4.0.conv2': 0.7454845573827512, 'layer4.0.downsample.0': 0.7129452822526767, 'layer4.1.conv1': 0.7088372452895882, 'layer4.1.conv2': 0.6339519353623216}",3,1
0.6906191582103126,0.7481873144995571,"{'layer1.0.conv1': 0.5237735087376068, 'layer1.0.conv2': 0.7889317642023576, 'layer1.1.conv1': 0.6185421215553548, 'layer1.1.conv2': 0.780860100285345, 'layer2.0.conv1': 0.5556793668396438, 'layer2.0.conv2': 0.5889123744274902, 'layer2.0.downsample.0': 0.9614306361349252, 'layer2.1.conv1': 0.5581501987932259, 'layer2.1.conv2': 0.6876420043608172, 'layer3.0.conv1': 0.6399544495941419, 'layer3.0.conv2': 0.6949590446100301, 'layer3.0.downsample.0': 0.7818796257957379, 'layer3.1.conv1': 0.5787587376438255, 'layer3.1.conv2': 0.7118088672014905, 'layer4.0.conv1': 0.7645131870781607, 'layer4.0.conv2': 0.6634702621523109, 'layer4.0.downsample.0': 0.6958464267409432, 'layer4.1.conv1': 0.7309829789716399, 'layer4.1.conv2': 0.7956683508708922}","{'layer1.0.conv1': 0.8876534258799362, 'layer1.0.conv2': 0.7355542506496792, 'layer1.1.conv1': 0.8319236153509579, 'layer1.1.conv2': 0.7595881979754416, 'layer2.0.conv1': 0.8598364114303667, 'layer2.0.conv2': 0.8105204997604462, 'layer2.0.downsample.0': 0.6523795657025669, 'layer2.1.conv1': 0.831766636139484, 'layer2.1.conv2': 0.7353569497635768, 'layer3.0.conv1': 0.7700532692271307, 'layer3.0.conv2': 0.7269160011925513, 'layer3.0.downsample.0': 0.6422657379583965, 'layer3.1.conv1': 0.8283938758847702, 'layer3.1.conv2': 0.7104131618327091, 'layer4.0.conv1': 0.6446081644294889, 'layer4.0.conv2': 0.7577221966860761, 'layer4.0.downsample.0': 0.7217908790577228, 'layer4.1.conv1': 0.702951631935881, 'layer4.1.conv2': 0.6058645046344034}",4,1
