l2_relative,cosine_similarity,l2_by_layer,cosine_by_layer,batch_idx,seed
0.6360249866249297,0.7832749190968972,"{'layer1.0.conv1': 0.4384105330759902, 'layer1.0.conv2': 0.6801971574416625, 'layer1.1.conv1': 0.6000300216888445, 'layer1.1.conv2': 0.6930360588565065, 'layer2.0.conv1': 0.482047215031983, 'layer2.0.conv2': 0.5354569684733925, 'layer2.0.downsample.0': 0.8888810382717673, 'layer2.1.conv1': 0.4986456928835387, 'layer2.1.conv2': 0.6872883033788498, 'layer3.0.conv1': 0.6097111308547252, 'layer3.0.conv2': 0.6071942603435928, 'layer3.0.downsample.0': 0.6442810657943278, 'layer3.1.conv1': 0.5731520336447615, 'layer3.1.conv2': 0.7110425922325312, 'layer4.0.conv1': 0.7304395360120731, 'layer4.0.conv2': 0.6214731181555782, 'layer4.0.downsample.0': 0.6424418944578383, 'layer4.1.conv1': 0.6994331851476533, 'layer4.1.conv2': 0.741312940128045}","{'layer1.0.conv1': 0.9109215986312484, 'layer1.0.conv2': 0.8065905717278176, 'layer1.1.conv1': 0.8241605658708641, 'layer1.1.conv2': 0.757210408310598, 'layer2.0.conv1': 0.8820587504923746, 'layer2.0.conv2': 0.8452340208155746, 'layer2.0.downsample.0': 0.7073647217416539, 'layer2.1.conv1': 0.8708289684604626, 'layer2.1.conv2': 0.7284817374443912, 'layer3.0.conv1': 0.8007338274679989, 'layer3.0.conv2': 0.7954994230115483, 'layer3.0.downsample.0': 0.7746925700373525, 'layer3.1.conv1': 0.8378585679883709, 'layer3.1.conv2': 0.7041789538830137, 'layer4.0.conv1': 0.683517100950058, 'layer4.0.conv2': 0.7863686542243653, 'layer4.0.downsample.0': 0.7704695765716348, 'layer4.1.conv1': 0.715768928842174, 'layer4.1.conv2': 0.6802845163695443}",0,0
0.6417078723210056,0.7854544963470762,"{'layer1.0.conv1': 0.485806428859076, 'layer1.0.conv2': 0.7329587513385722, 'layer1.1.conv1': 0.6085101021291672, 'layer1.1.conv2': 0.7204258996628019, 'layer2.0.conv1': 0.4849674384259188, 'layer2.0.conv2': 0.5419785182123792, 'layer2.0.downsample.0': 0.8868059916088752, 'layer2.1.conv1': 0.5189922286681773, 'layer2.1.conv2': 0.682517146441294, 'layer3.0.conv1': 0.6102889176883642, 'layer3.0.conv2': 0.6002104204013842, 'layer3.0.downsample.0': 0.6517858707787723, 'layer3.1.conv1': 0.5647084262222999, 'layer3.1.conv2': 0.6884662371022959, 'layer4.0.conv1': 0.7012295941780253, 'layer4.0.conv2': 0.656805003090442, 'layer4.0.downsample.0': 0.6670012340819217, 'layer4.1.conv1': 0.6911511035003912, 'layer4.1.conv2': 0.6978402617089473}","{'layer1.0.conv1': 0.8916209032548861, 'layer1.0.conv2': 0.8042811424260113, 'layer1.1.conv1': 0.8097879226369371, 'layer1.1.conv2': 0.765802813206897, 'layer2.0.conv1': 0.8803206142504099, 'layer2.0.conv2': 0.8438997665834849, 'layer2.0.downsample.0': 0.6830953730549155, 'layer2.1.conv1': 0.860325333677299, 'layer2.1.conv2': 0.7345931645978887, 'layer3.0.conv1': 0.7921848122394992, 'layer3.0.conv2': 0.8039436869297684, 'layer3.0.downsample.0': 0.7589029921795181, 'layer3.1.conv1': 0.8487608647082586, 'layer3.1.conv2': 0.7282479226851932, 'layer4.0.conv1': 0.7241014768192088, 'layer4.0.conv2': 0.7685067788901728, 'layer4.0.downsample.0': 0.7564384621521922, 'layer4.1.conv1': 0.7441868044528003, 'layer4.1.conv2': 0.724634595849105}",1,0
0.6639407551489237,0.7572085807696269,"{'layer1.0.conv1': 0.42277089197118517, 'layer1.0.conv2': 0.6509583531589498, 'layer1.1.conv1': 0.6105070676057379, 'layer1.1.conv2': 0.8126246751913445, 'layer2.0.conv1': 0.5264292912942817, 'layer2.0.conv2': 0.5800904047402513, 'layer2.0.downsample.0': 0.8411181628033976, 'layer2.1.conv1': 0.5373957204880645, 'layer2.1.conv2': 0.736335140027453, 'layer3.0.conv1': 0.6572079276283987, 'layer3.0.conv2': 0.6352703380111985, 'layer3.0.downsample.0': 0.6743785563763106, 'layer3.1.conv1': 0.593283973808171, 'layer3.1.conv2': 0.7252963700821211, 'layer4.0.conv1': 0.7647772736799597, 'layer4.0.conv2': 0.6512240371502266, 'layer4.0.downsample.0': 0.6605050639087413, 'layer4.1.conv1': 0.7610483195755796, 'layer4.1.conv2': 0.7736527803281772}","{'layer1.0.conv1': 0.9204605095907733, 'layer1.0.conv2': 0.8201328599490049, 'layer1.1.conv1': 0.8105905199492789, 'layer1.1.conv2': 0.7101259310830228, 'layer2.0.conv1': 0.8605709416568539, 'layer2.0.conv2': 0.8147554002334765, 'layer2.0.downsample.0': 0.7042656507870227, 'layer2.1.conv1': 0.8436532508840071, 'layer2.1.conv2': 0.6783608683743066, 'layer3.0.conv1': 0.7558448363654914, 'layer3.0.conv2': 0.7750327811766731, 'layer3.0.downsample.0': 0.7437945332252869, 'layer3.1.conv1': 0.8159139025262437, 'layer3.1.conv2': 0.6886017734824103, 'layer4.0.conv1': 0.644474659427771, 'layer4.0.conv2': 0.7589138170135556, 'layer4.0.downsample.0': 0.7538117225340822, 'layer4.1.conv1': 0.6540342364740087, 'layer4.1.conv2': 0.6336248398896414}",2,0
0.6361955072054652,0.7813277263731131,"{'layer1.0.conv1': 0.535180719091124, 'layer1.0.conv2': 0.7400332899030679, 'layer1.1.conv1': 0.5597137047752455, 'layer1.1.conv2': 0.6289138237678875, 'layer2.0.conv1': 0.4514414188251322, 'layer2.0.conv2': 0.517279861936328, 'layer2.0.downsample.0': 0.8168365879751746, 'layer2.1.conv1': 0.5062946547042629, 'layer2.1.conv2': 0.6881728687445713, 'layer3.0.conv1': 0.5975946128610482, 'layer3.0.conv2': 0.6041345980269077, 'layer3.0.downsample.0': 0.6276563539189803, 'layer3.1.conv1': 0.5778167185483858, 'layer3.1.conv2': 0.7003245762774085, 'layer4.0.conv1': 0.7150909854872236, 'layer4.0.conv2': 0.6459163725599086, 'layer4.0.downsample.0': 0.6729749838261735, 'layer4.1.conv1': 0.7137078074286165, 'layer4.1.conv2': 0.7886306982463933}","{'layer1.0.conv1': 0.8697840839949398, 'layer1.0.conv2': 0.760021373439793, 'layer1.1.conv1': 0.8453605701682261, 'layer1.1.conv2': 0.7775279859285376, 'layer2.0.conv1': 0.8934434822081226, 'layer2.0.conv2': 0.8698064088303409, 'layer2.0.downsample.0': 0.708580833088405, 'layer2.1.conv1': 0.873095041842916, 'layer2.1.conv2': 0.7323078329763235, 'layer3.0.conv1': 0.8018223189818271, 'layer3.0.conv2': 0.7992111413783486, 'layer3.0.downsample.0': 0.7785604153476628, 'layer3.1.conv1': 0.8395736678334474, 'layer3.1.conv2': 0.7144859184944212, 'layer4.0.conv1': 0.7051422309811886, 'layer4.0.conv2': 0.7852422986640819, 'layer4.0.downsample.0': 0.7493106648082645, 'layer4.1.conv1': 0.718319578339574, 'layer4.1.conv2': 0.6236309537827285}",3,0
0.6145569696412123,0.8022567689011639,"{'layer1.0.conv1': 0.44141436319652233, 'layer1.0.conv2': 0.6226859829255851, 'layer1.1.conv1': 0.5281800376153052, 'layer1.1.conv2': 0.7040097121257584, 'layer2.0.conv1': 0.4726490080611231, 'layer2.0.conv2': 0.524789815638619, 'layer2.0.downsample.0': 0.8439820340580857, 'layer2.1.conv1': 0.5057457278596453, 'layer2.1.conv2': 0.6960569070019005, 'layer3.0.conv1': 0.595309040691037, 'layer3.0.conv2': 0.5873911207735203, 'layer3.0.downsample.0': 0.6128758591027657, 'layer3.1.conv1': 0.5618179769322101, 'layer3.1.conv2': 0.6790356087885066, 'layer4.0.conv1': 0.6921713631254507, 'layer4.0.conv2': 0.6021059710570553, 'layer4.0.downsample.0': 0.6479340718057245, 'layer4.1.conv1': 0.6828610919843922, 'layer4.1.conv2': 0.6755667304398246}","{'layer1.0.conv1': 0.910593644679154, 'layer1.0.conv2': 0.8239310947320205, 'layer1.1.conv1': 0.8603909996231985, 'layer1.1.conv2': 0.740602178546877, 'layer2.0.conv1': 0.8896320796129374, 'layer2.0.conv2': 0.8595827696067003, 'layer2.0.downsample.0': 0.7277158160289586, 'layer2.1.conv1': 0.8735611423673735, 'layer2.1.conv2': 0.7233941180983462, 'layer3.0.conv1': 0.8059547658896865, 'layer3.0.conv2': 0.8124351072538634, 'layer3.0.downsample.0': 0.791581851675017, 'layer3.1.conv1': 0.8523347021964287, 'layer3.1.conv2': 0.7357908987477925, 'layer4.0.conv1': 0.7297394923580798, 'layer4.0.conv2': 0.8180721536996243, 'layer4.0.downsample.0': 0.7722286350859802, 'layer4.1.conv1': 0.7571762316759023, 'layer4.1.conv2': 0.7581609272441735}",4,0
0.6694765623977246,0.7530667135000335,"{'layer1.0.conv1': 0.46748258724482533, 'layer1.0.conv2': 0.6748244626179947, 'layer1.1.conv1': 0.6102279947189181, 'layer1.1.conv2': 0.7421442314477738, 'layer2.0.conv1': 0.531809891608622, 'layer2.0.conv2': 0.5853961108992307, 'layer2.0.downsample.0': 0.8375844767495505, 'layer2.1.conv1': 0.5222101552160552, 'layer2.1.conv2': 0.710781393444702, 'layer3.0.conv1': 0.644717685831595, 'layer3.0.conv2': 0.6604515036172064, 'layer3.0.downsample.0': 0.657591240836231, 'layer3.1.conv1': 0.612505392756377, 'layer3.1.conv2': 0.7166323364752549, 'layer4.0.conv1': 0.7527289064183551, 'layer4.0.conv2': 0.6788031541973715, 'layer4.0.downsample.0': 0.7025901943853609, 'layer4.1.conv1': 0.7777675341457299, 'layer4.1.conv2': 0.8338054329456146}","{'layer1.0.conv1': 0.9033784827642355, 'layer1.0.conv2': 0.8104233363731781, 'layer1.1.conv1': 0.8237186443463516, 'layer1.1.conv2': 0.7483078633356621, 'layer2.0.conv1': 0.8544951568400426, 'layer2.0.conv2': 0.8107875101461496, 'layer2.0.downsample.0': 0.6900840584324384, 'layer2.1.conv1': 0.8528403670124136, 'layer2.1.conv2': 0.708714976646146, 'layer3.0.conv1': 0.7658230576082998, 'layer3.0.conv2': 0.7523143615143247, 'layer3.0.downsample.0': 0.7548989556110733, 'layer3.1.conv1': 0.813972299187385, 'layer3.1.conv2': 0.697461627445784, 'layer4.0.conv1': 0.6608267433252407, 'layer4.0.conv2': 0.7509972505108624, 'layer4.0.downsample.0': 0.7203042252625267, 'layer4.1.conv1': 0.635869295293665, 'layer4.1.conv2': 0.5530493448448587}",0,1
0.7064042751097196,0.7372529972779809,"{'layer1.0.conv1': 0.47855126642646933, 'layer1.0.conv2': 0.7994362477655469, 'layer1.1.conv1': 0.6136440054538305, 'layer1.1.conv2': 0.8159121306806341, 'layer2.0.conv1': 0.5948338835005693, 'layer2.0.conv2': 0.6164638364701117, 'layer2.0.downsample.0': 0.9653490126017599, 'layer2.1.conv1': 0.5451268457498744, 'layer2.1.conv2': 0.7523573463768907, 'layer3.0.conv1': 0.6686702198339504, 'layer3.0.conv2': 0.6687910787399509, 'layer3.0.downsample.0': 0.7012027055160904, 'layer3.1.conv1': 0.6451005954363472, 'layer3.1.conv2': 0.7628128347183637, 'layer4.0.conv1': 0.786934662965854, 'layer4.0.conv2': 0.6973522322920015, 'layer4.0.downsample.0': 0.7148182703114817, 'layer4.1.conv1': 0.7850967220884207, 'layer4.1.conv2': 0.8092273301565267}","{'layer1.0.conv1': 0.8928674513978234, 'layer1.0.conv2': 0.7826878298065068, 'layer1.1.conv1': 0.8333648072571873, 'layer1.1.conv2': 0.714282337404661, 'layer2.0.conv1': 0.8515302782927833, 'layer2.0.conv2': 0.7999075497412321, 'layer2.0.downsample.0': 0.6777453640255887, 'layer2.1.conv1': 0.8383844802517241, 'layer2.1.conv2': 0.6750139577914372, 'layer3.0.conv1': 0.745516431423761, 'layer3.0.conv2': 0.7520226678146518, 'layer3.0.downsample.0': 0.7142640807408452, 'layer3.1.conv1': 0.7968462654311235, 'layer3.1.conv2': 0.6475013339506352, 'layer4.0.conv1': 0.6184145936121077, 'layer4.0.conv2': 0.7301431964984303, 'layer4.0.downsample.0': 0.7042538145588756, 'layer4.1.conv1': 0.6393006922933457, 'layer4.1.conv2': 0.5937598159889179}",1,1
0.6598984984495158,0.7650449956297748,"{'layer1.0.conv1': 0.46992141887902117, 'layer1.0.conv2': 0.6721140175506956, 'layer1.1.conv1': 0.5593036612541857, 'layer1.1.conv2': 0.6974475792933854, 'layer2.0.conv1': 0.5341245845709922, 'layer2.0.conv2': 0.570913968790572, 'layer2.0.downsample.0': 0.8531470888758926, 'layer2.1.conv1': 0.5302998207849278, 'layer2.1.conv2': 0.717879021401138, 'layer3.0.conv1': 0.6215520862944011, 'layer3.0.conv2': 0.6347102756640229, 'layer3.0.downsample.0': 0.641006037433695, 'layer3.1.conv1': 0.6251960430071829, 'layer3.1.conv2': 0.7324685254954559, 'layer4.0.conv1': 0.7548147159159955, 'layer4.0.conv2': 0.6661057447676992, 'layer4.0.downsample.0': 0.6849413358477856, 'layer4.1.conv1': 0.7517185810915894, 'layer4.1.conv2': 0.8204069636221621}","{'layer1.0.conv1': 0.8956356914992296, 'layer1.0.conv2': 0.8006897912874511, 'layer1.1.conv1': 0.8503675210666883, 'layer1.1.conv2': 0.7657719245276109, 'layer2.0.conv1': 0.8702679090353634, 'layer2.0.conv2': 0.8463416747537501, 'layer2.0.downsample.0': 0.6979176957922384, 'layer2.1.conv1': 0.8508317486474507, 'layer2.1.conv2': 0.7096925845641547, 'layer3.0.conv1': 0.7837399959090025, 'layer3.0.conv2': 0.7837502109504132, 'layer3.0.downsample.0': 0.7680265791169314, 'layer3.1.conv1': 0.8221696660866868, 'layer3.1.conv2': 0.6809489370916106, 'layer4.0.conv1': 0.6589175151382011, 'layer4.0.conv2': 0.768238886374412, 'layer4.0.downsample.0': 0.7362936169603614, 'layer4.1.conv1': 0.6706478524268353, 'layer4.1.conv2': 0.5756051157373312}",2,1
0.6300985225061023,0.7921986034737555,"{'layer1.0.conv1': 0.5560068222754168, 'layer1.0.conv2': 0.7640531992679399, 'layer1.1.conv1': 0.5944603891036568, 'layer1.1.conv2': 0.6612891975486735, 'layer2.0.conv1': 0.4678781123464017, 'layer2.0.conv2': 0.5157147034336733, 'layer2.0.downsample.0': 0.8071513384167832, 'layer2.1.conv1': 0.5050122370071901, 'layer2.1.conv2': 0.7080159506944189, 'layer3.0.conv1': 0.5992452867514817, 'layer3.0.conv2': 0.5897773067402474, 'layer3.0.downsample.0': 0.6159897698356598, 'layer3.1.conv1': 0.543659054156362, 'layer3.1.conv2': 0.6698808720780896, 'layer4.0.conv1': 0.69949347242799, 'layer4.0.conv2': 0.6469837381008943, 'layer4.0.downsample.0': 0.6735218709585781, 'layer4.1.conv1': 0.6748626134962993, 'layer4.1.conv2': 0.6788759929761863}","{'layer1.0.conv1': 0.8793196203364991, 'layer1.0.conv2': 0.7809089873616306, 'layer1.1.conv1': 0.831060824191937, 'layer1.1.conv2': 0.7686728999479068, 'layer2.0.conv1': 0.8875364254652499, 'layer2.0.conv2': 0.862152218855645, 'layer2.0.downsample.0': 0.7161386693347208, 'layer2.1.conv1': 0.8660420291570243, 'layer2.1.conv2': 0.7070327151032676, 'layer3.0.conv1': 0.8009088503483949, 'layer3.0.conv2': 0.8092443613818096, 'layer3.0.downsample.0': 0.7878969293251288, 'layer3.1.conv1': 0.8560862643667189, 'layer3.1.conv2': 0.7480901911765881, 'layer4.0.conv1': 0.7249963275229074, 'layer4.0.conv2': 0.7724183204533998, 'layer4.0.downsample.0': 0.7580799013111121, 'layer4.1.conv1': 0.7516351028460029, 'layer4.1.conv2': 0.7435528275154104}",3,1
0.604628952071573,0.8020964036744361,"{'layer1.0.conv1': 0.47736171391015, 'layer1.0.conv2': 0.6669141617406997, 'layer1.1.conv1': 0.5624108888427075, 'layer1.1.conv2': 0.6245385497133739, 'layer2.0.conv1': 0.4532925530503876, 'layer2.0.conv2': 0.5165454557044495, 'layer2.0.downsample.0': 0.7444615780028165, 'layer2.1.conv1': 0.48293966484867806, 'layer2.1.conv2': 0.6867159815711463, 'layer3.0.conv1': 0.593207686489653, 'layer3.0.conv2': 0.589656079823997, 'layer3.0.downsample.0': 0.6200758033363506, 'layer3.1.conv1': 0.5368564937940279, 'layer3.1.conv2': 0.6621639534687064, 'layer4.0.conv1': 0.6815475164437422, 'layer4.0.conv2': 0.5922856038312723, 'layer4.0.downsample.0': 0.6102614610187873, 'layer4.1.conv1': 0.6896454822229464, 'layer4.1.conv2': 0.6970694615459934}","{'layer1.0.conv1': 0.8975366718018288, 'layer1.0.conv2': 0.8071524518721896, 'layer1.1.conv1': 0.836667381809428, 'layer1.1.conv2': 0.7933752037633643, 'layer2.0.conv1': 0.8921061227867493, 'layer2.0.conv2': 0.8569562387666365, 'layer2.0.downsample.0': 0.745962582234436, 'layer2.1.conv1': 0.8794464350920738, 'layer2.1.conv2': 0.7317209650262253, 'layer3.0.conv1': 0.8052380739180156, 'layer3.0.conv2': 0.8078079197282148, 'layer3.0.downsample.0': 0.7847553343565165, 'layer3.1.conv1': 0.8495654663081229, 'layer3.1.conv2': 0.7509534589809145, 'layer4.0.conv1': 0.7339345123739135, 'layer4.0.conv2': 0.816817854275386, 'layer4.0.downsample.0': 0.7967836893834643, 'layer4.1.conv1': 0.731231087922527, 'layer4.1.conv2': 0.7218202194142797}",4,1
