Model,BER,Seed,Accuracy
BFAT (Dual BER),0.0,42,93.43
BFAT (Dual BER),0.0,43,93.43
BFAT (Dual BER),0.0,44,93.43
BFAT (Dual BER),1e-06,42,93.46
BFAT (Dual BER),1e-06,43,93.48
BFAT (Dual BER),1e-06,44,93.48
BFAT (Dual BER),1e-05,42,93.43
BFAT (Dual BER),1e-05,43,93.44
BFAT (Dual BER),1e-05,44,93.51
BFAT (Dual BER),0.0001,42,93.44
BFAT (Dual BER),0.0001,43,93.4
BFAT (Dual BER),0.0001,44,93.5
BFAT (Dual BER),0.001,42,93.32
BFAT (Dual BER),0.001,43,93.5
BFAT (Dual BER),0.001,44,93.41
BFAT (Dual BER),0.01,42,92.51
BFAT (Dual BER),0.01,43,92.22
BFAT (Dual BER),0.01,44,92.06
BFAT (Dual BER),0.02,42,91.65
BFAT (Dual BER),0.02,43,90.42
BFAT (Dual BER),0.02,44,89.22
BFAT (Dual BER),0.03,42,88.28
BFAT (Dual BER),0.03,43,87.45
BFAT (Dual BER),0.03,44,85.1
BFAT (Dual BER),0.04,42,83.54
BFAT (Dual BER),0.04,43,80.21
BFAT (Dual BER),0.04,44,77.33
BFAT (Dual BER),0.05,42,79.64
BFAT (Dual BER),0.05,43,67.34
BFAT (Dual BER),0.05,44,66.01
BFAT (Dual BER),0.06,42,70.9
BFAT (Dual BER),0.06,43,50.37
BFAT (Dual BER),0.06,44,55.56
BFAT (Dual BER),0.07,42,61.36
BFAT (Dual BER),0.07,43,37.99
BFAT (Dual BER),0.07,44,36.61
BFAT (Dual BER),0.08,42,45.57
BFAT (Dual BER),0.08,43,32.58
BFAT (Dual BER),0.08,44,32.33
BFAT (Dual BER),0.09,42,25.29
BFAT (Dual BER),0.09,43,25.42
BFAT (Dual BER),0.09,44,26.78
BFAT (Dual BER),0.1,42,14.73
BFAT (Dual BER),0.1,43,20.77
BFAT (Dual BER),0.1,44,25.64
BFAT (BER 0.02),0.0,42,93.39
BFAT (BER 0.02),0.0,43,93.39
BFAT (BER 0.02),0.0,44,93.39
BFAT (BER 0.02),1e-06,42,93.36
BFAT (BER 0.02),1e-06,43,93.41
BFAT (BER 0.02),1e-06,44,93.41
BFAT (BER 0.02),1e-05,42,93.46
BFAT (BER 0.02),1e-05,43,93.35
BFAT (BER 0.02),1e-05,44,93.39
BFAT (BER 0.02),0.0001,42,93.35
BFAT (BER 0.02),0.0001,43,93.37
BFAT (BER 0.02),0.0001,44,93.31
BFAT (BER 0.02),0.001,42,93.24
BFAT (BER 0.02),0.001,43,93.37
BFAT (BER 0.02),0.001,44,93.27
BFAT (BER 0.02),0.01,42,92.78
BFAT (BER 0.02),0.01,43,92.67
BFAT (BER 0.02),0.01,44,92.37
BFAT (BER 0.02),0.02,42,91.3
BFAT (BER 0.02),0.02,43,90.96
BFAT (BER 0.02),0.02,44,90.79
BFAT (BER 0.02),0.03,42,88.82
BFAT (BER 0.02),0.03,43,88.45
BFAT (BER 0.02),0.03,44,88.66
BFAT (BER 0.02),0.04,42,82.55
BFAT (BER 0.02),0.04,43,84.09
BFAT (BER 0.02),0.04,44,84.54
BFAT (BER 0.02),0.05,42,72.2
BFAT (BER 0.02),0.05,43,71.86
BFAT (BER 0.02),0.05,44,80.79
BFAT (BER 0.02),0.06,42,58.43
BFAT (BER 0.02),0.06,43,63.38
BFAT (BER 0.02),0.06,44,72.98
BFAT (BER 0.02),0.07,42,42.59
BFAT (BER 0.02),0.07,43,40.21
BFAT (BER 0.02),0.07,44,58.73
BFAT (BER 0.02),0.08,42,30.97
BFAT (BER 0.02),0.08,43,29.31
BFAT (BER 0.02),0.08,44,43.64
BFAT (BER 0.02),0.09,42,26.13
BFAT (BER 0.02),0.09,43,23.81
BFAT (BER 0.02),0.09,44,26.51
BFAT (BER 0.02),0.1,42,18.65
BFAT (BER 0.02),0.1,43,21.86
BFAT (BER 0.02),0.1,44,15.85
BFAT+Combined+NoRestore,0.0,42,93.28
BFAT+Combined+NoRestore,0.0,43,93.28
BFAT+Combined+NoRestore,0.0,44,93.28
BFAT+Combined+NoRestore,1e-06,42,93.19
BFAT+Combined+NoRestore,1e-06,43,93.2
BFAT+Combined+NoRestore,1e-06,44,93.26
BFAT+Combined+NoRestore,1e-05,42,93.24
BFAT+Combined+NoRestore,1e-05,43,93.27
BFAT+Combined+NoRestore,1e-05,44,93.28
BFAT+Combined+NoRestore,0.0001,42,93.26
BFAT+Combined+NoRestore,0.0001,43,93.18
BFAT+Combined+NoRestore,0.0001,44,93.26
BFAT+Combined+NoRestore,0.001,42,93.17
BFAT+Combined+NoRestore,0.001,43,93.18
BFAT+Combined+NoRestore,0.001,44,93.29
BFAT+Combined+NoRestore,0.01,42,92.15
BFAT+Combined+NoRestore,0.01,43,91.88
BFAT+Combined+NoRestore,0.01,44,92.02
BFAT+Combined+NoRestore,0.02,42,90.33
BFAT+Combined+NoRestore,0.02,43,90.4
BFAT+Combined+NoRestore,0.02,44,90.05
BFAT+Combined+NoRestore,0.03,42,86.93
BFAT+Combined+NoRestore,0.03,43,86.01
BFAT+Combined+NoRestore,0.03,44,86.6
BFAT+Combined+NoRestore,0.04,42,81.39
BFAT+Combined+NoRestore,0.04,43,79.51
BFAT+Combined+NoRestore,0.04,44,76.96
BFAT+Combined+NoRestore,0.05,42,75.13
BFAT+Combined+NoRestore,0.05,43,73.43
BFAT+Combined+NoRestore,0.05,44,59.43
BFAT+Combined+NoRestore,0.06,42,62.55
BFAT+Combined+NoRestore,0.06,43,62.37
BFAT+Combined+NoRestore,0.06,44,46.67
BFAT+Combined+NoRestore,0.07,42,45.64
BFAT+Combined+NoRestore,0.07,43,50.66
BFAT+Combined+NoRestore,0.07,44,32.17
BFAT+Combined+NoRestore,0.08,42,30.57
BFAT+Combined+NoRestore,0.08,43,41.0
BFAT+Combined+NoRestore,0.08,44,20.11
BFAT+Combined+NoRestore,0.09,42,20.63
BFAT+Combined+NoRestore,0.09,43,27.86
BFAT+Combined+NoRestore,0.09,44,16.01
BFAT+Combined+NoRestore,0.1,42,17.82
BFAT+Combined+NoRestore,0.1,43,25.1
BFAT+Combined+NoRestore,0.1,44,12.9
BFAT_TRUNCATION_ONLY,0.0,42,93.62
BFAT_TRUNCATION_ONLY,0.0,43,93.62
BFAT_TRUNCATION_ONLY,0.0,44,93.62
BFAT_TRUNCATION_ONLY,1e-06,42,93.62
BFAT_TRUNCATION_ONLY,1e-06,43,93.59
BFAT_TRUNCATION_ONLY,1e-06,44,93.66
BFAT_TRUNCATION_ONLY,1e-05,42,93.59
