[features.0] Epoch 1/50, Loss=4.701760
[features.0] Epoch 2/50, Loss=2.618698
[features.0] Epoch 3/50, Loss=2.500707
[features.0] Epoch 4/50, Loss=2.493521
[features.0] Epoch 5/50, Loss=2.490233
[features.0] Epoch 6/50, Loss=2.486796
[features.0] Epoch 7/50, Loss=2.483964
[features.0] Epoch 8/50, Loss=2.483537
[features.0] Epoch 9/50, Loss=2.480320
[features.0] Epoch 10/50, Loss=2.479960
[features.0] Epoch 11/50, Loss=2.476071
[features.0] Epoch 12/50, Loss=2.474579
[features.0] Epoch 13/50, Loss=2.471254
[features.0] Epoch 14/50, Loss=2.470969
[features.0] Epoch 15/50, Loss=2.467320
[features.0] Epoch 16/50, Loss=2.466272
[features.0] Epoch 17/50, Loss=2.462962
[features.0] Epoch 18/50, Loss=2.462134
[features.0] Epoch 19/50, Loss=2.459372
[features.0] Epoch 20/50, Loss=2.457288
[features.0] Epoch 21/50, Loss=2.453612
[features.0] Epoch 22/50, Loss=2.452573
[features.0] Epoch 23/50, Loss=2.451150
[features.0] Epoch 24/50, Loss=2.450842
[features.0] Epoch 25/50, Loss=2.449588
[features.0] Epoch 26/50, Loss=2.448631
[features.0] Epoch 27/50, Loss=2.447368
[features.0] Epoch 28/50, Loss=2.447124
[features.0] Epoch 29/50, Loss=2.445457
[features.0] Epoch 30/50, Loss=2.445359
[features.0] Epoch 31/50, Loss=2.444363
[features.0] Epoch 32/50, Loss=2.443310
[features.0] Epoch 33/50, Loss=2.442995
[features.0] Epoch 34/50, Loss=2.442353
[features.0] Epoch 35/50, Loss=2.441490
[features.0] Epoch 36/50, Loss=2.441345
[features.0] Epoch 37/50, Loss=2.440793
[features.0] Epoch 38/50, Loss=2.440518
[features.0] Epoch 39/50, Loss=2.439261
[features.0] Epoch 40/50, Loss=2.438555
[features.0] Epoch 41/50, Loss=2.438611
[features.0] Epoch 42/50, Loss=2.437872
[features.0] Epoch 43/50, Loss=2.437239
[features.0] Epoch 44/50, Loss=2.436574
[features.0] Epoch 45/50, Loss=2.436912
[features.0] Epoch 46/50, Loss=2.437171
[features.0] Epoch 47/50, Loss=2.436674
[features.0] Epoch 48/50, Loss=2.434933
[features.0] Epoch 49/50, Loss=2.434795
[features.0] Epoch 50/50, Loss=2.434419
[classifier.1] Epoch 1/50, Loss=0.178520
[classifier.1] Epoch 2/50, Loss=0.169618
[classifier.1] Epoch 3/50, Loss=0.169459
[classifier.1] Epoch 4/50, Loss=0.169479
[classifier.1] Epoch 5/50, Loss=0.169429
[classifier.1] Epoch 6/50, Loss=0.169483
[classifier.1] Epoch 7/50, Loss=0.169395
[classifier.1] Epoch 8/50, Loss=0.169484
[classifier.1] Epoch 9/50, Loss=0.169486
[classifier.1] Epoch 10/50, Loss=0.169437
[classifier.1] Epoch 11/50, Loss=0.169428
[classifier.1] Epoch 12/50, Loss=0.169461
[classifier.1] Epoch 13/50, Loss=0.169334
[classifier.1] Epoch 14/50, Loss=0.169298
[classifier.1] Epoch 15/50, Loss=0.169359
[classifier.1] Epoch 16/50, Loss=0.169353
[classifier.1] Epoch 17/50, Loss=0.169305
[classifier.1] Epoch 18/50, Loss=0.169290
[classifier.1] Epoch 19/50, Loss=0.169323
[classifier.1] Epoch 20/50, Loss=0.169357
[classifier.1] Epoch 21/50, Loss=0.169300
[classifier.1] Epoch 22/50, Loss=0.169280
[classifier.1] Epoch 23/50, Loss=0.169277
[classifier.1] Epoch 24/50, Loss=0.169256
[classifier.1] Epoch 25/50, Loss=0.169271
[classifier.1] Epoch 26/50, Loss=0.169307
[classifier.1] Epoch 27/50, Loss=0.169269
[classifier.1] Epoch 28/50, Loss=0.169301
[classifier.1] Epoch 29/50, Loss=0.169331
[classifier.1] Epoch 30/50, Loss=0.169227
[classifier.1] Epoch 31/50, Loss=0.169262
[classifier.1] Epoch 32/50, Loss=0.169341
[classifier.1] Epoch 33/50, Loss=0.169272
[classifier.1] Epoch 34/50, Loss=0.169346
[classifier.1] Epoch 35/50, Loss=0.169283
[classifier.1] Epoch 36/50, Loss=0.169241
[classifier.1] Epoch 37/50, Loss=0.169297
[classifier.1] Epoch 38/50, Loss=0.169270
[classifier.1] Epoch 39/50, Loss=0.169315
[classifier.1] Epoch 40/50, Loss=0.169224
[classifier.1] Epoch 41/50, Loss=0.169231
[classifier.1] Epoch 42/50, Loss=0.169213
[classifier.1] Epoch 43/50, Loss=0.169222
[classifier.1] Epoch 44/50, Loss=0.169214
[classifier.1] Epoch 45/50, Loss=0.169208
[classifier.1] Epoch 46/50, Loss=0.169286
[classifier.1] Epoch 47/50, Loss=0.169369
[classifier.1] Epoch 48/50, Loss=0.169280
[classifier.1] Epoch 49/50, Loss=0.169213
[classifier.1] Epoch 50/50, Loss=0.169241
Saved repair head state dict to learning_heads/repair_20251122-212606.pt
