[features.0] Epoch 1/100, Loss=43.030403, LR=1.00e-01
[features.0] Epoch 2/100, Loss=34.549295, LR=9.99e-02
[features.0] Epoch 3/100, Loss=35.153263, LR=9.98e-02
[features.0] Epoch 4/100, Loss=34.636836, LR=9.96e-02
[features.0] Epoch 5/100, Loss=34.441455, LR=9.94e-02
[features.0] Epoch 6/100, Loss=29.547315, LR=9.91e-02
[features.0] Epoch 7/100, Loss=24.965845, LR=9.88e-02
[features.0] Epoch 8/100, Loss=24.530865, LR=9.84e-02
[features.0] Epoch 9/100, Loss=24.159503, LR=9.80e-02
[features.0] Epoch 10/100, Loss=23.755065, LR=9.76e-02
[features.0] Epoch 11/100, Loss=23.759743, LR=9.70e-02
[features.0] Epoch 12/100, Loss=23.585006, LR=9.65e-02
[features.0] Epoch 13/100, Loss=23.374989, LR=9.59e-02
[features.0] Epoch 14/100, Loss=23.158643, LR=9.52e-02
[features.0] Epoch 15/100, Loss=22.879782, LR=9.46e-02
[features.0] Epoch 16/100, Loss=22.583883, LR=9.38e-02
[features.0] Epoch 17/100, Loss=22.369686, LR=9.30e-02
[features.0] Epoch 18/100, Loss=22.164777, LR=9.22e-02
[features.0] Epoch 19/100, Loss=21.843413, LR=9.14e-02
[features.0] Epoch 20/100, Loss=21.697198, LR=9.05e-02
[features.0] Epoch 21/100, Loss=22.255575, LR=8.95e-02
[features.0] Epoch 22/100, Loss=23.852918, LR=8.85e-02
[features.0] Epoch 23/100, Loss=23.304131, LR=8.75e-02
[features.0] Epoch 24/100, Loss=24.543779, LR=8.64e-02
[features.0] Epoch 25/100, Loss=25.883935, LR=8.54e-02
[features.0] Epoch 26/100, Loss=28.395484, LR=8.42e-02
[features.0] Epoch 27/100, Loss=27.066239, LR=8.31e-02
[features.0] Epoch 28/100, Loss=25.248131, LR=8.19e-02
[features.0] Epoch 29/100, Loss=24.358354, LR=8.06e-02
[features.0] Epoch 30/100, Loss=23.529996, LR=7.94e-02
[features.0] Epoch 31/100, Loss=25.998691, LR=7.81e-02
[features.0] Epoch 32/100, Loss=26.736590, LR=7.68e-02
[features.0] Epoch 33/100, Loss=26.023110, LR=7.55e-02
[features.0] Epoch 34/100, Loss=25.599352, LR=7.41e-02
[features.0] Epoch 35/100, Loss=25.123875, LR=7.27e-02
[features.0] Epoch 36/100, Loss=24.608572, LR=7.13e-02
[features.0] Epoch 37/100, Loss=24.237869, LR=6.99e-02
[features.0] Epoch 38/100, Loss=23.879592, LR=6.84e-02
[features.0] Epoch 39/100, Loss=22.815638, LR=6.69e-02
[features.0] Epoch 40/100, Loss=16.523035, LR=6.55e-02
[features.0] Epoch 41/100, Loss=16.091738, LR=6.40e-02
[features.0] Epoch 42/100, Loss=15.627315, LR=6.24e-02
[features.0] Epoch 43/100, Loss=15.173503, LR=6.09e-02
[features.0] Epoch 44/100, Loss=14.730146, LR=5.94e-02
[features.0] Epoch 45/100, Loss=14.342070, LR=5.78e-02
[features.0] Epoch 46/100, Loss=13.856364, LR=5.63e-02
[features.0] Epoch 47/100, Loss=13.377636, LR=5.47e-02
[features.0] Epoch 48/100, Loss=12.889157, LR=5.31e-02
[features.0] Epoch 49/100, Loss=12.486884, LR=5.16e-02
[features.0] Epoch 50/100, Loss=12.025636, LR=5.00e-02
[features.0] Epoch 51/100, Loss=11.592248, LR=4.84e-02
[features.0] Epoch 52/100, Loss=11.170893, LR=4.69e-02
[features.0] Epoch 53/100, Loss=10.729126, LR=4.53e-02
[features.0] Epoch 54/100, Loss=10.320568, LR=4.37e-02
[features.0] Epoch 55/100, Loss=9.914991, LR=4.22e-02
[features.0] Epoch 56/100, Loss=9.521574, LR=4.06e-02
[features.0] Epoch 57/100, Loss=9.110105, LR=3.91e-02
[features.0] Epoch 58/100, Loss=8.780335, LR=3.76e-02
[features.0] Epoch 59/100, Loss=8.420949, LR=3.61e-02
[features.0] Epoch 60/100, Loss=8.049824, LR=3.46e-02
[features.0] Epoch 61/100, Loss=7.704907, LR=3.31e-02
[features.0] Epoch 62/100, Loss=7.404945, LR=3.16e-02
[features.0] Epoch 63/100, Loss=7.064055, LR=3.01e-02
[features.0] Epoch 64/100, Loss=6.768721, LR=2.87e-02
[features.0] Epoch 65/100, Loss=6.504571, LR=2.73e-02
[features.0] Epoch 66/100, Loss=6.231369, LR=2.59e-02
[features.0] Epoch 67/100, Loss=6.027885, LR=2.46e-02
[features.0] Epoch 68/100, Loss=5.773007, LR=2.32e-02
[features.0] Epoch 69/100, Loss=5.564403, LR=2.19e-02
[features.0] Epoch 70/100, Loss=5.353673, LR=2.06e-02
[features.0] Epoch 71/100, Loss=5.178348, LR=1.94e-02
[features.0] Epoch 72/100, Loss=4.984212, LR=1.81e-02
[features.0] Epoch 73/100, Loss=4.816793, LR=1.69e-02
[features.0] Epoch 74/100, Loss=4.630756, LR=1.58e-02
[features.0] Epoch 75/100, Loss=4.313229, LR=1.47e-02
[features.0] Epoch 76/100, Loss=4.106563, LR=1.36e-02
[features.0] Epoch 77/100, Loss=3.971504, LR=1.25e-02
[features.0] Epoch 78/100, Loss=3.793375, LR=1.15e-02
[features.0] Epoch 79/100, Loss=3.580236, LR=1.05e-02
[features.0] Epoch 80/100, Loss=3.418486, LR=9.56e-03
[features.0] Epoch 81/100, Loss=3.336059, LR=8.66e-03
[features.0] Epoch 82/100, Loss=3.213504, LR=7.79e-03
[features.0] Epoch 83/100, Loss=3.110689, LR=6.97e-03
[features.0] Epoch 84/100, Loss=3.066632, LR=6.19e-03
[features.0] Epoch 85/100, Loss=3.021251, LR=5.46e-03
[features.0] Epoch 86/100, Loss=2.978958, LR=4.77e-03
[features.0] Epoch 87/100, Loss=2.953794, LR=4.12e-03
[features.0] Epoch 88/100, Loss=2.935452, LR=3.52e-03
[features.0] Epoch 89/100, Loss=2.918868, LR=2.97e-03
[features.0] Epoch 90/100, Loss=2.889304, LR=2.46e-03
[features.0] Epoch 91/100, Loss=2.888223, LR=2.00e-03
[features.0] Epoch 92/100, Loss=2.887906, LR=1.58e-03
[features.0] Epoch 93/100, Loss=2.887691, LR=1.21e-03
[features.0] Epoch 94/100, Loss=2.887517, LR=8.96e-04
[features.0] Epoch 95/100, Loss=2.887404, LR=6.26e-04
