exp_name,lambda_scale,layer,is_dynamic_s,s_len,s_active_wbit,s_active,s_active_sq,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.1,1,5,6,0.0008798734634183347,7.741772947156278e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.4,1,5,6,0.0010996770579367876,1.209289621328935e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,classifier.6,0,1,,0.005586571525782347,3.120977999060415e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.0,0,1,,0.0037775493692606688,1.4269879102357663e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.10,1,5,6,0.0021193972788751125,4.491844720178051e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.3,1,5,6,0.0053998855873942375,2.915876393672079e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.6,1,5,6,0.00030185666400939226,9.111744248002651e-08,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,features.8,1,5,6,0.0019369903020560741,3.751931444639922e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.1,1,5,6,0.0008211815147660673,6.743391054442327e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.4,1,5,6,0.001188132562674582,1.4116590136836749e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,classifier.6,0,1,,0.005831631366163492,3.4007924114121124e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.0,0,1,,0.003895071567967534,1.5171582163020503e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.10,1,5,6,0.0022299890406429768,4.972851002094103e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.3,1,5,6,0.005229014437645674,2.7342592147761025e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,features.6,1,5,6,0.001271576969884336,1.6169079799510655e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
