exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,1e-05,88.65,88.61,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.0001,88.65,88.6,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.001,88.65,88.43,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.01,88.65,86.0,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.02,88.65,81.53,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.05,88.65,71.44,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.1,88.65,44.95,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,1e-05,88.38,88.4,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.0001,88.38,88.36,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.001,88.38,88.08,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.01,88.38,84.44,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.02,88.38,81.09,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.05,88.38,68.95,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.1,88.38,44.42,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,1e-05,88.36,88.4,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.0001,88.36,88.44,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.001,88.36,88.09,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.01,88.36,85.99,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.02,88.36,81.83,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.05,88.36,68.66,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.1,88.36,42.3,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,1e-05,88.64,88.68,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.0001,88.64,88.67,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.001,88.64,88.52,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.01,88.64,85.42,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.02,88.64,80.02,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.05,88.64,70.99,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7,1e-07,0.1,88.64,47.82,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,1e-05,88.37,88.39,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.0001,88.37,88.45,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.001,88.37,88.07,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.01,88.37,86.11,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.02,88.37,81.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.05,88.37,71.79,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.1,88.37,49.07,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,1e-05,88.67,88.67,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.0001,88.67,88.58,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.001,88.67,88.24,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.01,88.67,85.57,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.02,88.67,82.37,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.05,88.67,67.14,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.1,88.67,40.61,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,1e-05,88.69,88.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.0001,88.69,88.65,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.001,88.69,88.16,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.01,88.69,85.89,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.02,88.69,82.93,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
