exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,1e-05,88.38,88.46,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.0001,88.38,88.42,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.001,88.38,88.24,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.01,88.38,86.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.02,88.38,84.16,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.05,88.38,71.73,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.1,88.38,41.56,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,1e-05,88.25,88.26,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.0001,88.25,88.14,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.001,88.25,88.13,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.01,88.25,84.18,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.02,88.25,78.82,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.05,88.25,66.91,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.1,88.25,44.03,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,1e-05,88.94,88.98,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.0001,88.94,88.99,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.001,88.94,88.74,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,0.01,88.94,86.15,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
