exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,1e-05,88.38±0,88.42±0.0764,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.0001,88.38±0,88.38±0.078,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.001,88.38±0,88.33±0.0745,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.01,88.38±0,86.25±0.546,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.02,88.38±0,81.85±3.01,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.05,88.38±0,69.6±1.77,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls0,0.0,0.1,88.38±0,41.43±2.97,training/alexnet_cifar10_single_gpu_normal_srqat_ls0/alexnet_cifar10_single_gpu_normal_srqat_ls0_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,1e-05,88.25±0,88.28±0.104,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.0001,88.25±0,88.3±0.0958,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,0.001,88.25±0,88.12±0.145,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
